# unix_time,cycles_done,cur_path,paths_total,pending_total,pending_favs,map_size,unique_crashes,unique_hangs,max_depth,execs_per_sec,valid_inputs,invalid_inputs,valid_cov,all_covered_probes,valid_covered_probes
1670569453,0,0,1,0,0,0.01%,0,0,0,0.05,1,0,0.01%,4,4
1670569453,0,0,1,0,0,0.01%,0,0,0,17.16,8,0,0.01%,4,4
1670569454,0,0,1,0,0,0.01%,0,0,0,16.03,13,0,0.01%,4,4
1670569454,0,0,1,0,0,0.01%,0,0,0,3.3,14,0,0.01%,4,4
1670569454,0,0,1,0,0,0.01%,0,0,0,43.89,28,0,0.01%,4,4
1670569455,0,0,1,0,0,0.01%,1,0,0,25.16,35,1,0.01%,4,4
1670569455,0,0,1,0,0,0.01%,1,0,0,39.87,47,1,0.01%,4,4
1670569455,0,0,1,0,0,0.01%,1,0,0,12.86,51,1,0.01%,4,4
1670569456,0,0,1,0,0,0.01%,1,0,0,41.01,64,1,0.01%,4,4
1670569456,0,0,1,0,0,0.01%,1,0,0,65.15,84,1,0.01%,4,4
1670569456,0,0,1,0,0,0.01%,1,0,0,98.04,113,2,0.01%,4,4
1670569456,0,0,1,0,0,0.01%,1,0,0,35.95,124,2,0.01%,4,4
1670569457,0,0,1,0,0,0.01%,1,0,0,49.02,139,2,0.01%,4,4
1670569457,0,0,1,0,0,0.01%,1,0,0,66.01,159,2,0.01%,4,4
1670569457,0,0,1,0,0,0.01%,1,0,0,69.77,180,2,0.01%,4,4
1670569458,0,0,1,0,0,0.01%,1,0,0,26.32,188,2,0.01%,4,4
1670569458,0,0,1,0,0,0.01%,1,0,0,6.67,190,2,0.01%,4,4
1670569458,0,0,1,0,0,0.01%,1,0,0,40,203,2,0.01%,4,4
1670569459,0,0,1,0,0,0.01%,1,0,0,21.15,209,3,0.01%,4,4
1670569459,0,0,1,0,0,0.01%,1,0,0,69.77,230,3,0.01%,4,4
1670569459,0,0,1,0,0,0.01%,1,0,0,46.73,245,3,0.01%,4,4
1670569460,0,0,1,0,0,0.01%,1,0,0,36.42,255,4,0.01%,4,4
1670569460,0,0,1,0,0,0.01%,1,0,0,29.26,266,4,0.01%,4,4
1670569460,0,0,1,0,0,0.01%,1,0,0,13.29,270,4,0.01%,4,4
1670569461,0,0,1,0,0,0.01%,1,0,0,96.35,299,4,0.01%,4,4
1670569461,0,0,1,0,0,0.01%,1,0,0,70,320,4,0.01%,4,4
