# unix_time,cycles_done,cur_path,paths_total,pending_total,pending_favs,map_size,unique_crashes,unique_hangs,max_depth,execs_per_sec,valid_inputs,invalid_inputs,valid_cov,all_covered_probes,valid_covered_probes
1670569389,0,0,1,0,0,0.01%,0,0,0,0.22,1,0,0.01%,4,4
1670569389,0,0,1,0,0,0.01%,0,0,0,49.5,16,0,0.01%,4,4
1670569389,0,0,1,0,0,0.01%,0,0,0,40.75,29,0,0.01%,4,4
1670569390,0,0,1,0,0,0.01%,1,0,0,39.22,38,3,0.01%,4,4
1670569390,0,0,1,0,0,0.01%,1,0,0,107.14,70,4,0.01%,4,4
1670569390,0,0,1,0,0,0.01%,1,0,0,63.33,89,4,0.01%,4,4
1670569390,0,0,1,0,0,0.01%,1,0,0,170,139,5,0.01%,4,4
1670569391,0,0,1,0,0,0.01%,1,0,0,171.62,187,9,0.01%,4,4
1670569391,0,0,1,0,0,0.01%,1,0,0,157.38,232,12,0.01%,4,4
1670569391,0,0,1,0,0,0.01%,1,0,0,153.33,276,14,0.01%,4,4
1670569392,0,0,1,0,0,0.01%,1,0,0,112.96,308,16,0.01%,4,4
1670569392,0,0,1,0,0,0.01%,1,0,0,55.19,324,17,0.01%,4,4
1670569392,0,0,1,0,0,0.01%,1,0,0,103.33,354,18,0.01%,4,4
1670569393,0,0,1,0,0,0.01%,1,0,0,91.48,378,23,0.01%,4,4
1670569393,0,0,1,0,0,0.01%,1,0,0,94.46,402,28,0.01%,4,4
1670569393,0,0,1,0,0,0.01%,1,0,0,53.16,417,29,0.01%,4,4
1670569394,0,0,1,0,0,0.01%,1,0,0,126.62,456,29,0.01%,4,4
1670569394,0,0,1,0,0,0.01%,1,0,0,121.02,492,31,0.01%,4,4
1670569394,0,0,1,0,0,0.01%,1,0,0,73.33,513,32,0.01%,4,4
1670569394,0,0,1,0,0,0.01%,1,0,0,200,570,35,0.01%,4,4
1670569395,0,0,1,0,0,0.01%,1,0,0,112.9,604,36,0.01%,4,4
1670569395,0,0,1,0,0,0.01%,1,0,0,99.67,634,36,0.01%,4,4
1670569395,0,0,1,0,0,0.01%,1,0,0,194.72,692,37,0.01%,4,4
1670569396,0,0,1,0,0,0.01%,1,0,0,104,730,38,0.01%,4,4
1670569396,0,0,1,0,0,0.01%,1,0,0,2.05,731,38,0.01%,4,4
1670569397,0,0,1,0,0,0.01%,1,0,0,1.57,732,38,0.01%,4,4
1670569397,0,0,1,0,0,0.01%,1,0,0,48.08,746,39,0.01%,4,4
1670569397,0,0,1,0,0,0.01%,1,0,0,132.45,783,42,0.01%,4,4
1670569398,0,0,1,0,0,0.01%,1,0,0,125.83,819,44,0.01%,4,4
1670569398,0,0,1,0,0,0.01%,1,0,0,78.18,840,47,0.01%,4,4
1670569398,0,0,1,0,0,0.01%,1,0,0,112.54,875,47,0.01%,4,4
1670569399,0,0,1,0,0,0.01%,1,0,0,123.33,909,50,0.01%,4,4
1670569399,0,0,1,0,0,0.01%,1,0,0,2.26,910,50,0.01%,4,4
1670569399,1,0,1,0,0,0.01%,1,0,0,186.27,961,56,0.01%,4,4
1670569400,1,0,1,0,0,0.01%,1,0,0,161.72,1009,57,0.01%,4,4
1670569400,1,0,1,0,0,0.01%,1,0,0,250.83,1081,61,0.01%,4,4
1670569400,1,0,1,0,0,0.01%,1,0,0,228.48,1149,62,0.01%,4,4
1670569401,1,0,1,0,0,0.01%,1,0,0,306.67,1235,68,0.01%,4,4
1670569401,1,0,1,0,0,0.01%,1,0,0,249.17,1309,69,0.01%,4,4
1670569401,1,0,1,0,0,0.01%,1,0,0,171.05,1357,73,0.01%,4,4
1670569402,1,0,1,0,0,0.01%,1,0,0,2.58,1358,73,0.01%,4,4
1670569402,1,0,1,0,0,0.01%,1,0,0,246.84,1432,77,0.01%,4,4
1670569402,1,0,1,0,0,0.01%,1,0,0,203.33,1490,80,0.01%,4,4
1670569403,1,0,1,0,0,0.01%,1,0,0,110,1522,81,0.01%,4,4
1670569403,1,0,1,0,0,0.01%,1,0,0,1.87,1523,81,0.01%,4,4
1670569403,1,0,1,0,0,0.01%,1,0,0,33.85,1534,81,0.01%,4,4
1670569404,1,0,1,0,0,0.01%,1,0,0,1.7,1535,81,0.01%,4,4
1670569404,1,0,1,0,0,0.01%,1,0,0,29.8,1543,82,0.01%,4,4
1670569405,1,0,1,0,0,0.01%,1,0,0,6.58,1545,82,0.01%,4,4
1670569405,1,0,1,0,0,0.01%,1,0,0,172.76,1597,82,0.01%,4,4
