# unix_time,cycles_done,cur_path,paths_total,pending_total,pending_favs,map_size,unique_crashes,unique_hangs,max_depth,execs_per_sec,valid_inputs,invalid_inputs,valid_cov,all_covered_probes,valid_covered_probes
1670569378,0,0,1,0,0,0.01%,0,0,0,0.33,1,0,0.01%,4,4
1670569379,0,0,1,0,0,0.01%,1,0,0,76.67,22,2,0.01%,4,4
1670569379,0,0,1,0,0,0.01%,1,0,0,190,77,4,0.01%,4,4
1670569379,0,0,1,0,0,0.01%,1,0,0,203.33,137,5,0.01%,4,4
1670569380,0,0,1,0,0,0.01%,1,0,0,213.33,196,10,0.01%,4,4
1670569380,0,0,1,0,0,0.01%,1,0,0,211.92,258,12,0.01%,4,4
1670569380,0,0,1,0,0,0.01%,1,0,0,216.67,320,15,0.01%,4,4
1670569381,0,0,1,0,0,0.01%,1,0,0,256.67,395,17,0.01%,4,4
1670569381,0,0,1,0,0,0.01%,1,0,0,175.9,445,21,0.01%,4,4
1670569381,0,0,1,0,0,0.01%,1,0,0,250,519,23,0.01%,4,4
1670569381,0,0,1,0,0,0.01%,1,0,0,236.67,589,24,0.01%,4,4
1670569382,0,0,1,0,0,0.01%,1,0,0,192.69,646,25,0.01%,4,4
1670569382,0,0,1,0,0,0.01%,1,0,0,203.33,705,27,0.01%,4,4
1670569382,0,0,1,0,0,0.01%,1,0,0,265.78,782,30,0.01%,4,4
1670569383,0,0,1,0,0,0.01%,1,0,0,266.67,861,31,0.01%,4,4
1670569383,0,0,1,0,0,0.01%,1,0,0,250,935,33,0.01%,4,4
1670569383,1,0,1,0,0,0.01%,1,0,0,275.75,1014,37,0.01%,4,4
1670569384,1,0,1,0,0,0.01%,1,0,0,214.29,1079,38,0.01%,4,4
1670569384,1,0,1,0,0,0.01%,1,0,0,256.67,1153,41,0.01%,4,4
1670569384,1,0,1,0,0,0.01%,1,0,0,231.79,1218,46,0.01%,4,4
1670569385,1,0,1,0,0,0.01%,1,0,0,210.68,1286,49,0.01%,4,4
1670569385,1,0,1,0,0,0.01%,1,0,0,66.67,1305,50,0.01%,4,4
1670569385,1,0,1,0,0,0.01%,1,0,0,124.59,1342,51,0.01%,4,4
1670569385,1,0,1,0,0,0.01%,1,0,0,107.84,1373,53,0.01%,4,4
1670569386,1,0,1,0,0,0.01%,1,0,0,110,1403,56,0.01%,4,4
1670569386,1,0,1,0,0,0.01%,1,0,0,73.33,1425,56,0.01%,4,4
1670569386,1,0,1,0,0,0.01%,1,0,0,146.67,1468,57,0.01%,4,4
1670569387,1,0,1,0,0,0.01%,1,0,0,133.33,1505,60,0.01%,4,4
1670569387,1,0,1,0,0,0.01%,1,0,0,195.36,1558,66,0.01%,4,4
1670569387,1,0,1,0,0,0.01%,1,0,0,228.48,1625,68,0.01%,4,4
1670569388,1,0,1,0,0,0.01%,1,0,0,183.01,1679,70,0.01%,4,4
1670569388,1,0,1,0,0,0.01%,1,0,0,105.43,1712,70,0.01%,4,4
1670569388,1,0,1,0,0,0.01%,1,0,0,115.99,1745,74,0.01%,4,4
1670569389,1,0,1,0,0,0.01%,1,0,0,185.06,1801,75,0.01%,4,4
1670569389,1,0,1,0,0,0.01%,1,0,0,110,1833,76,0.01%,4,4
1670569389,1,0,1,0,0,0.01%,1,0,0,152.32,1878,77,0.01%,4,4
1670569389,1,0,1,0,0,0.01%,1,0,0,93.33,1905,78,0.01%,4,4
1670569390,2,0,1,0,0,0.01%,1,0,0,106.67,1937,78,0.01%,4,4
1670569390,2,0,1,0,0,0.01%,1,0,0,168.87,1987,79,0.01%,4,4
1670569390,2,0,1,0,0,0.01%,1,0,0,161.72,2036,79,0.01%,4,4
1670569391,2,0,1,0,0,0.01%,1,0,0,225.17,2099,84,0.01%,4,4
1670569391,2,0,1,0,0,0.01%,1,0,0,192.93,2159,84,0.01%,4,4
1670569391,2,0,1,0,0,0.01%,1,0,0,156.15,2205,85,0.01%,4,4
1670569392,2,0,1,0,0,0.01%,1,0,0,96.35,2233,86,0.01%,4,4
1670569392,2,0,1,0,0,0.01%,1,0,0,93.33,2261,86,0.01%,4,4
1670569392,2,0,1,0,0,0.01%,1,0,0,111.78,2296,88,0.01%,4,4
1670569392,2,0,1,0,0,0.01%,1,0,0,95.54,2326,88,0.01%,4,4
1670569393,2,0,1,0,0,0.01%,1,0,0,135.92,2364,92,0.01%,4,4
1670569393,2,0,1,0,0,0.01%,1,0,0,90.32,2389,95,0.01%,4,4
1670569393,2,0,1,0,0,0.01%,1,0,0,50.96,2405,95,0.01%,4,4
1670569394,2,0,1,0,0,0.01%,1,0,0,174.34,2456,97,0.01%,4,4
1670569394,2,0,1,0,0,0.01%,1,0,0,75.16,2478,98,0.01%,4,4
1670569394,2,0,1,0,0,0.01%,1,0,0,223.33,2538,105,0.01%,4,4
1670569395,2,0,1,0,0,0.01%,1,0,0,202.57,2599,107,0.01%,4,4
1670569395,2,0,1,0,0,0.01%,1,0,0,156.15,2644,109,0.01%,4,4
1670569395,2,0,1,0,0,0.01%,1,0,0,200,2702,111,0.01%,4,4
1670569396,2,0,1,0,0,0.01%,1,0,0,198.68,2758,115,0.01%,4,4
1670569396,2,0,1,0,0,0.01%,1,0,0,24.24,2766,115,0.01%,4,4
1670569396,2,0,1,0,0,0.01%,1,0,0,2.67,2767,115,0.01%,4,4
1670569397,2,0,1,0,0,0.01%,1,0,0,1.63,2768,115,0.01%,4,4
1670569397,2,0,1,0,0,0.01%,1,0,0,30.49,2777,116,0.01%,4,4
1670569397,2,0,1,0,0,0.01%,1,0,0,78.69,2801,116,0.01%,4,4
1670569398,2,0,1,0,0,0.01%,1,0,0,80,2824,117,0.01%,4,4
1670569398,2,0,1,0,0,0.01%,1,0,0,101.97,2854,118,0.01%,4,4
1670569398,3,0,1,0,0,0.01%,1,0,0,103.03,2885,121,0.01%,4,4
1670569399,3,0,1,0,0,0.01%,1,0,0,145.7,2929,121,0.01%,4,4
1670569399,3,0,1,0,0,0.01%,1,0,0,2.67,2930,121,0.01%,4,4
1670569399,3,0,1,0,0,0.01%,1,0,0,150.33,2973,124,0.01%,4,4
1670569400,3,0,1,0,0,0.01%,1,0,0,223.3,3040,126,0.01%,4,4
1670569400,3,0,1,0,0,0.01%,1,0,0,217.82,3102,130,0.01%,4,4
1670569400,3,0,1,0,0,0.01%,1,0,0,213.82,3161,136,0.01%,4,4
1670569401,3,0,1,0,0,0.01%,1,0,0,303.33,3250,138,0.01%,4,4
1670569401,3,0,1,0,0,0.01%,1,0,0,259.14,3323,143,0.01%,4,4
1670569401,3,0,1,0,0,0.01%,1,0,0,143.31,3366,145,0.01%,4,4
1670569402,3,0,1,0,0,0.01%,1,0,0,2.4,3367,145,0.01%,4,4
1670569402,3,0,1,0,0,0.01%,1,0,0,248.39,3439,150,0.01%,4,4
1670569402,3,0,1,0,0,0.01%,1,0,0,160,3486,151,0.01%,4,4
1670569403,3,0,1,0,0,0.01%,1,0,0,112.96,3520,151,0.01%,4,4
1670569403,3,0,1,0,0,0.01%,1,0,0,2.1,3521,151,0.01%,4,4
1670569404,3,0,1,0,0,0.01%,1,0,0,1.13,3522,151,0.01%,4,4
1670569404,3,0,1,0,0,0.01%,1,0,0,67.28,3544,151,0.01%,4,4
1670569405,3,0,1,0,0,0.01%,1,0,0,62.67,3566,152,0.01%,4,4
1670569405,3,0,1,0,0,0.01%,1,0,0,128.29,3603,154,0.01%,4,4
1670569405,3,0,1,0,0,0.01%,1,0,0,149.35,3648,155,0.01%,4,4
1670569406,3,0,1,0,0,0.01%,1,0,0,125,3685,156,0.01%,4,4
1670569406,3,0,1,0,0,0.01%,1,0,0,169.44,3736,156,0.01%,4,4
1670569406,3,0,1,0,0,0.01%,1,0,0,211.92,3797,159,0.01%,4,4
1670569406,4,0,1,0,0,0.01%,1,0,0,145.11,3843,159,0.01%,4,4
1670569407,4,0,1,0,0,0.01%,1,0,0,163.4,3891,161,0.01%,4,4
1670569407,4,0,1,0,0,0.01%,1,0,0,114.11,3929,161,0.01%,4,4
1670569407,4,0,1,0,0,0.01%,1,0,0,109.63,3960,163,0.01%,4,4
1670569408,4,0,1,0,0,0.01%,1,0,0,112.58,3992,165,0.01%,4,4
1670569408,4,0,1,0,0,0.01%,1,0,0,99.01,4021,166,0.01%,4,4
1670569408,4,0,1,0,0,0.01%,1,0,0,33.33,4031,166,0.01%,4,4
1670569409,4,0,1,0,0,0.01%,1,0,0,105.61,4062,167,0.01%,4,4
1670569409,4,0,1,0,0,0.01%,1,0,0,56.48,4079,167,0.01%,4,4
1670569409,4,0,1,0,0,0.01%,1,0,0,156.35,4124,170,0.01%,4,4
1670569410,4,0,1,0,0,0.01%,1,0,0,94.8,4154,171,0.01%,4,4
1670569410,4,0,1,0,0,0.01%,1,0,0,89.11,4181,171,0.01%,4,4
1670569410,4,0,1,0,0,0.01%,1,0,0,70,4202,171,0.01%,4,4
1670569410,4,0,1,0,0,0.01%,1,0,0,76.16,4223,173,0.01%,4,4
1670569411,4,0,1,0,0,0.01%,1,0,0,141.91,4266,173,0.01%,4,4
1670569411,4,0,1,0,0,0.01%,1,0,0,218.24,4328,178,0.01%,4,4
1670569412,4,0,1,0,0,0.01%,1,0,0,0.87,4329,178,0.01%,4,4
1670569413,4,0,1,0,0,0.01%,1,0,0,7.13,4332,178,0.01%,4,4
1670569413,4,0,1,0,0,0.01%,1,0,0,42.9,4344,179,0.01%,4,4
1670569413,4,0,1,0,0,0.01%,1,0,0,3.03,4345,179,0.01%,4,4
